K0B	718	1242
K0C	706	1265
K0E	711	1249
K0G	706	1245
K0H	748	1263
K0J	704	1252
K0K	760	1280
K0L	781	1316
K0M	780	1317
K1A	1193	2445
K1B	996	1574
K1C	867	1451
K1E	861	1435
K1G	1016	1616
K1H	909	1496
K1J	1006	1609
K1K	1050	1661
K1L	1108	1712
K1M	966	1624
K1N	1106	1733
K1R	1031	1640
K1S	967	1595
K1T	1061	1699
K1V	1040	1669
K1W	985	1643
K1X	1068	1785
K1Y	917	1522
K1Z	990	1585
K2A	889	1493
K2B	1048	1634
K2C	1023	1615
K2E	957	1559
K2G	968	1569
K2H	912	1493
K2J	1038	1685
K2K	852	1452
K2L	845	1404
K2M	891	1485
K2P	1029	1647
K2R	880	1568
K2S	822	1450
K2T	918	1558
K2V	1015	1697
K2W	896	1523
K4A	925	1546
K4B	730	1282
K4C	752	1367
K4K	789	1406
K4M	821	1500
K4P	779	1415
K4R	763	1349
K6A	757	1290
K6H	812	1408
K6J	785	1354
K6K	762	1367
K6T	634	1240
K6V	728	1278
K7A	741	1295
K7C	760	1343
K7G	718	1247
K7H	688	1232
K7K	873	1409
K7L	828	1370
K7M	818	1351
K7N	817	1341
K7P	821	1380
K7R	775	1318
K7S	739	1314
K7V	700	1229
K8A	749	1310
K8B	690	1328
K8H	829	1490
K8N	814	1373
K8P	888	1427
K8R	796	1335
K8V	823	1360
K9A	803	1341
K9H	877	1408
K9J	857	1398
K9K	852	1435
K9L	838	1376
K9V	835	1390
L0A	820	1376
L0B	952	1510
L0C	951	1516
L0E	1036	1592
L0G	1140	1769
L0H	1287	1712
L0J	1404	2254
L0K	885	1446
L0L	955	1564
L0M	998	1606
L0N	992	1582
L0P	1095	1757
L0R	1028	1597
L0S	877	1420
L1A	831	1368
L1B	963	1510
L1C	1102	1675
L1E	1105	1673
L1G	1286	1839
L1H	1343	1885
L1J	1328	1880
L1K	1339	1962
L1L	1613	2334
L1M	1160	1789
L1N	1257	1820
L1P	1349	1997
L1R	1295	1897
L1S	1377	1919
L1T	1515	2146
L1V	1336	1919
L1W	1339	1923
L1X	1458	2138
L1Y	1188	1830
L1Z	1570	2245
L2A	987	1520
L2E	1141	1688
L2G	1134	1716
L2H	1093	1696
L2J	966	1497
L2M	965	1453
L2N	928	1426
L2P	1051	1586
L2R	1064	1601
L2S	992	1539
L2T	1100	1660
L2V	1120	1701
L2W	971	1560
L3B	1009	1534
L3C	932	1457
L3J	972	1535
L3K	868	1357
L3L	1609	2680
L3M	958	1511
L3P	1271	1835
L3R	1418	2062
L3S	1707	2425
L3T	1415	2105
L3V	918	1490
L3W	1073	1703
L3X	1287	1943
L3Y	1201	1783
L3Z	1252	1909
L4A	1219	1844
L4C	1535	2253
L4E	1502	2241
L4G	1249	1913
L4H	1550	2323
L4J	1478	2229
L4K	1763	2593
L4L	1464	2166
L4M	1231	1881
L4N	1188	1820
L4P	1130	1731
L4R	886	1464
L4S	1463	2153
L4T	2163	2938
L4V	2440	3470
L4W	1393	2004
L4X	1668	2313
L4Y	1480	2077
L4Z	1613	2293
L5A	1693	2355
L5B	1808	2518
L5C	1594	2218
L5E	1393	2001
L5G	1369	2063
L5H	1250	1973
L5J	1293	1907
L5K	1379	1984
L5L	1404	2030
L5M	1559	2252
L5N	1468	2101
L5P	1553	2226
L5R	1673	2371
L5S	2111	3266
L5T	1690	2557
L5V	1695	2399
L5W	1747	2552
L6A	1539	2294
L6B	1524	2188
L6C	1372	2056
L6E	1443	2060
L6G	1742	2576
L6H	1212	1890
L6J	1083	1794
L6K	1234	1913
L6L	1056	1712
L6M	1179	1851
